"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,0,0,0,0,0,0,0,404,525,95,342,198,278,348,67,314,187,156,54,221,114
7,74,0,13,17,0,307,36,0,0,805,62,0,402,0,18,45,519,153,202,330,257
267,461,634,209,638,375,364,153,0,0,0,0,10,0,0,0,0,84,0,0,18,0
92,757,18,127,38,25,33,35,21,156,58,239,30,44,103,19,131,28,0,572,226,416
75,64,0,0,13,18,11,26,0,283,0,258,1798,242,302,0,0,0,0,0,0,0
0,372,413,17,102,466,787,25,10,49,13,352,0,13,222,72,13,11,0,8,17,18
0,0,2424,0,0,24,0,0,0,486,0,0,0,0,0,0,0,0,0,0,0,0
0,18,0,0,0,0,0,0,0,0,0,0,0,26,119,815,0,472,0,1226,161,47
269,618,187,102,315,269,343,0,29,38,217,211,0,6,0,130,23,0,16,32,0,18
0,2803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
58,144,409,385,104,125,262,175,74,124,76,178,52,59,79,45,109,71,0,34,87,98
17,737,71,89,56,15,60,12,0,841,3,471,5,42,284,4,0,0,0,9,0,0
175,0,367,0,1152,266,725,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,382,334,0,267,366,513,32,0,69,20,171,0,0,389,103,0,0,0,0,0,20
0,0,18,14,0,0,0,0,80,1979,189,0,120,229,0,0,0,0,0,0,0,0
127,52,17,6,35,19,5,15,0,75,13,35,0,55,181,26,385,155,112,55,1135,99
90,107,201,73,95,366,38,44,13,121,44,170,27,98,171,316,22,176,16,65,182,116
20,0,15,0,33,0,16,0,0,14,163,699,31,22,217,72,370,228,0,52,465,123
198,31,18,13,17,14,19,134,0,370,0,468,45,84,578,0,0,29,87,0,373,61
411,266,49,86,195,77,67,113,7,109,17,29,770,10,23,13,41,40,84,7,17,79
0,0,0,0,0,0,0,0,868,21,199,520,67,59,379,105,20,56,0,14,106,37
41,20,249,25,143,32,838,169,0,0,0,15,15,10,58,29,66,93,9,316,223,92
18,42,7,0,4,0,43,53,0,27,0,0,4,34,36,55,1396,104,84,64,235,233
94,105,98,26,292,102,240,76,86,80,69,224,49,49,213,57,115,136,19,36,189,28
2,283,216,8,74,438,819,10,4,25,19,212,0,9,45,66,11,6,0,0,8,4
0,0,0,0,0,0,0,0,0,0,0,2240,0,0,0,0,0,0,0,0,0,0
