"ID","Taxonomy"
"ASV104","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV106","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Pleosporales; f__Lophiostomataceae; g__Lophiostoma"
"ASV107","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV108","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Bionectriaceae; g__Clonostachys"
"ASV109","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora"
"ASV110","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Fusarium"
"ASV112","Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"ASV113","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora"
"ASV115","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Hypocreales; f__Nectriaceae; g__Gibberella"
"ASV117","Root; k__Fungi; p__Ascomycota; c__Dothideomycetes; o__Capnodiales; f__Cladosporiaceae; g__Cladosporium"
"ASV118","Root; k__Fungi; p__Ascomycota; c__Archaeorhizomycetes; o__Archaeorhizomycetales; f__Archaeorhizomycetaceae; g__Archaeorhizomyces"
"ASV119","Root; k__Fungi; p__Mortierellomycota; c__Mortierellomycetes; o__Mortierellales; f__Mortierellaceae; g__Mortierella"
"ASV120","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
"ASV122","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Lasiosphaeriaceae; g__Cercophora"
"ASV123","Root; k__Fungi; p__Ascomycota; c__Ascomycota_unclassified; o__Ascomycota_unclassified; f__Ascomycota_unclassified; g__Ascomycota_unclassified"
"ASV124","Root; k__Fungi; p__Ascomycota; c__Sordariomycetes; o__Sordariales; f__Chaetomiaceae; g__Humicola"
"ASV125","Root; k__Fungi; p__Fungi_unclassified; c__Fungi_unclassified; o__Fungi_unclassified; f__Fungi_unclassified; g__Fungi_unclassified"
