"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo4","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
28,20,41,21,21,140,10,14,7,24,7,36,10,30,23,147,6,31,14,16,61,23
6,0,7,0,9,0,3,0,0,3,44,151,9,7,38,44,120,42,0,8,102,23
72,8,4,3,3,4,1,28,0,87,0,99,14,31,84,0,0,4,85,0,106,18
133,56,13,29,52,33,13,33,6,29,4,6,191,4,5,8,21,9,82,1,4,18
0,0,0,0,0,0,0,0,654,7,49,122,18,24,51,47,3,7,0,6,24,3
10,2,60,6,28,15,194,42,0,0,0,1,2,2,6,20,28,18,8,82,62,22
6,9,2,0,1,0,14,16,0,7,0,0,0,13,4,24,492,24,82,12,70,37
28,21,16,8,67,43,48,15,64,17,13,41,6,20,37,24,45,29,19,12,40,9
0,48,49,4,24,196,178,3,3,9,4,44,0,4,4,27,2,1,0,0,2,0
0,0,0,0,0,0,0,0,0,0,0,440,0,0,0,0,0,0,0,0,0,0
0,0,0,0,14,29,169,0,95,0,1,6,14,140,57,20,0,1,0,25,33,15
22,0,0,0,0,0,9,30,5,39,0,46,22,248,122,0,0,0,0,0,0,0
0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,39,20
39,12,4,178,253,50,14,30,1,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,258,19,127,149,20,0,14,0,0,0,0,47,38,10
33,15,17,31,9,18,26,20,5,5,0,11,0,5,9,14,19,37,27,139,77,69
0,0,514,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
49,17,48,61,44,0,67,0,0,16,16,69,0,8,9,14,27,17,6,0,47,13
0,0,0,0,0,0,0,0,19,2,3,8,43,95,215,0,0,0,0,0,1,0
0,1,0,0,0,0,0,0,0,0,0,16,0,0,2,45,14,330,35,36,13,36
55,13,0,0,8,93,4,8,0,31,0,6,307,3,19,0,0,0,5,0,0,0
0,0,4,0,0,0,0,0,119,25,58,101,32,22,114,9,2,5,0,12,25,9
0,0,0,0,0,0,0,448,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,2,3,0,5,16,6,0,0,0,0,0,0,0,1,60,55,171,157,5,108,48
165,33,10,28,191,57,18,7,0,0,0,0,0,0,0,0,3,0,0,0,0,0
8,17,261,0,30,27,95,49,0,0,0,0,0,0,0,0,0,0,0,1,0,0
0,212,16,33,10,0,20,18,140,9,8,23,0,9,8,6,0,0,0,11,3,0
66,13,29,194,7,42,21,41,114,13,16,7,7,8,6,3,2,1,0,0,0,0
39,10,11,27,40,21,29,6,42,17,8,13,7,3,11,49,22,51,24,13,87,27
13,2,3,7,10,4,5,7,77,118,29,76,35,91,8,6,45,7,0,0,16,13
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,174,0,5,0,401,0,0
16,74,5,97,10,40,12,9,0,0,24,11,0,0,0,25,15,43,59,25,27,23
9,29,0,150,19,64,0,1,7,5,249,0,2,13,0,0,0,0,0,0,0,0
8,4,5,0,0,0,0,0,0,227,5,43,0,131,42,0,14,0,0,0,0,5
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,231,58,61,24,128,34
0,0,4,15,0,2,1,2,0,6,34,28,0,10,90,19,73,30,9,19,36,30
171,41,30,0,126,20,12,14,0,0,0,0,0,58,0,0,0,0,0,0,0,0
28,14,12,230,19,84,31,61,0,9,0,2,3,4,3,0,0,0,0,0,0,0
14,240,9,19,8,15,9,4,0,0,2,0,3,0,0,0,5,5,0,4,2,0
4,4,0,4,9,10,0,0,0,10,6,7,0,19,4,160,48,65,0,53,70,32
165,8,1,0,4,0,7,2,4,172,9,27,5,39,18,4,4,14,8,2,6,8
9,19,0,0,14,18,11,11,0,0,0,0,45,18,0,164,0,130,0,8,36,10
103,19,2,2,7,4,1,5,5,52,0,29,196,7,17,0,0,1,0,0,0,0
0,5,0,122,0,0,4,0,0,0,284,0,0,0,0,2,0,0,0,0,0,0
0,0,1,1,0,5,0,0,0,216,0,1,1,7,1,2,3,0,0,194,5,1
0,1,17,0,1,1,22,5,57,12,67,1,6,27,126,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,238,0,0,0,0,0,0,0
14,10,4,0,0,18,1,0,29,34,4,27,49,17,141,0,0,0,0,0,0,0
3,1,0,0,267,11,14,31,0,22,0,0,13,4,17,6,0,0,0,0,0,3
