"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,8,11,6,11,24,14,0,7,5,33,0,7,43,0,27,20,7,0,0,0,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0
0,0,0,9,0,0,0,19,0,0,0,0,0,0,0,0,26,28,0,21,0,0
28,2,0,0,0,0,6,0,12,41,26,0,6,0,6,0,0,2,0,0,0,16
24,9,17,20,14,0,11,6,0,17,6,0,0,0,0,0,11,9,0,3,7,10
43,0,0,0,0,0,0,0,0,18,12,0,0,0,0,0,4,0,0,0,0,0
54,26,14,25,25,42,19,17,22,33,17,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,4,0,27,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0
0,23,12,17,13,0,17,27,0,9,0,35,12,0,16,0,7,12,8,0,0,34
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,0,0,7,0,0,0
73,0,0,0,0,0,0,0,35,14,0,0,0,0,0,40,7,0,19,0,0,0
0,0,0,0,0,0,0,0,0,8,10,0,0,0,0,11,3,9,0,0,0,0
0,13,0,0,20,0,17,32,0,16,0,0,8,0,0,0,18,26,0,26,28,0
0,4,10,5,0,0,0,0,0,19,0,26,0,0,0,0,9,9,0,3,0,0
0,0,1,0,0,0,0,0,0,30,24,0,3,0,0,26,7,23,0,9,2,5
26,18,0,6,0,0,0,0,91,26,20,85,19,22,0,0,0,0,0,0,0,0
45,9,15,13,19,0,0,13,17,18,30,0,23,0,12,16,16,17,5,0,0,0
0,7,0,0,13,0,19,16,0,16,0,0,53,45,0,0,10,6,22,4,15,10
7,6,0,0,3,0,30,4,0,5,6,0,8,0,0,21,15,22,2,33,15,37
0,17,16,16,14,0,16,15,0,0,7,0,28,26,21,0,14,12,2,0,14,10
0,14,6,9,34,0,3,2,0,0,0,0,2,0,0,29,21,24,0,16,15,58
0,0,0,0,0,0,5,6,0,0,3,0,46,0,238,0,0,0,0,3,0,0
43,46,31,19,35,54,9,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,13,12,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,0,0
15,3,13,4,13,0,4,0,0,5,0,41,0,0,0,0,0,2,0,0,0,0
22,10,5,0,0,0,0,0,31,0,0,0,0,0,0,0,9,0,32,0,0,0
0,24,34,43,13,0,26,0,0,0,0,0,0,40,13,0,0,0,0,0,0,0
0,0,8,0,0,0,30,21,0,0,0,0,15,0,33,0,0,0,0,11,0,47
0,0,29,0,0,0,0,0,28,24,0,36,7,0,0,0,18,0,0,0,0,0
46,0,0,0,0,52,0,0,34,45,21,43,5,0,0,0,0,0,0,0,0,0
0,7,0,28,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,5,10,0,0,0,0,0,27,28,48,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,28,0,0,5,0,0,0
24,10,12,0,0,0,0,0,15,0,20,16,0,0,6,26,14,29,11,0,11,24
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0
0,12,21,14,0,0,0,0,54,16,0,61,0,0,0,0,10,0,0,0,0,0
13,14,16,6,5,10,36,28,0,0,0,0,0,0,0,19,8,0,0,0,0,4
39,10,31,13,0,0,5,0,0,0,9,0,0,0,3,0,0,0,0,0,0,14
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55,0,0,0,0,0,0
0,11,10,9,7,0,0,10,0,0,15,23,5,0,10,0,16,8,4,7,8,18
0,0,25,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,496,31,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,50,0,36,0,30,0,55,18,0
0,12,21,29,18,0,17,11,0,0,0,0,0,0,0,0,11,0,0,3,0,13
9,4,12,1,0,0,7,0,0,11,12,0,0,0,0,0,6,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,12,0,0,0,0,0
29,0,4,7,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,6,0
0,13,41,18,0,0,0,0,0,50,0,0,0,64,0,0,11,13,0,0,0,0
0,8,8,14,1,0,0,0,0,12,7,52,0,0,0,0,4,18,16,0,0,0
20,16,11,7,19,49,13,7,0,9,0,0,0,0,18,0,11,7,0,3,0,23
0,0,0,0,0,0,0,5,0,0,0,0,0,60,0,0,0,89,0,19,17,0
0,0,0,0,0,0,0,0,0,8,0,0,0,0,7,0,10,0,0,0,0,0
0,13,14,17,0,0,0,0,39,27,20,71,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,1,0,4,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,12,0,0,8,0,0,9,0,8,32,5,0,9,42,14,11,0,30
0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,15,0,11,0,0,0,0
0,0,0,0,0,0,5,45,0,0,0,0,0,0,0,0,13,11,0,35,31,0
17,13,18,26,20,0,26,27,0,0,9,0,19,32,0,0,0,0,0,0,0,0
0,7,9,0,0,0,0,0,0,11,0,41,0,0,0,0,0,0,0,0,0,5
0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0
23,27,1,9,7,25,9,0,15,10,21,0,0,22,7,21,9,0,0,0,0,29
0,12,0,11,13,0,0,8,0,15,12,36,0,42,38,0,19,9,0,0,8,0
0,0,0,0,0,0,0,0,0,20,9,70,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,5,0,3,0,73,0,14,7,0,15,62,0
0,17,0,12,0,0,0,0,21,31,21,0,0,0,0,0,0,0,0,0,0,6
0,0,0,5,7,0,0,0,0,0,0,0,0,0,0,0,19,39,11,12,11,68
65,0,22,12,0,0,16,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0
