"ROERh1","ROERh2","ROERh3","ROERh4","ROESo1","ROESo2","ROESo3","ROESo4","ROFRh1","ROFRh2","ROFRh3","ROFRh4","ROFSo1","ROFSo2","ROFSo3","RONRh1","RONRh2","RONRh3","RONRh4","RONSo1","RONSo3","RONSo4"
0,75,61,0,0,0,0,0,0,0,0,0,0,0,0,0,65,61,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,19,0,0,0,0,0,0
46,9,22,11,3,0,17,11,0,68,0,43,0,0,0,0,9,0,0,7,0,22
44,57,55,82,109,57,36,33,0,0,0,0,0,0,30,0,34,0,0,28,0,28
0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,54,51,54,68,32,66,0
11,0,0,0,0,0,0,0,131,88,23,59,16,0,0,0,0,0,0,0,0,0
0,74,42,117,23,0,13,31,0,0,14,0,0,0,0,0,40,0,15,0,20,35
0,0,37,38,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0
0,39,58,53,11,0,26,21,0,14,0,40,0,0,0,0,0,0,0,0,0,0
0,36,0,22,71,17,0,62,0,22,34,0,0,57,47,0,0,52,0,0,0,43
0,44,30,22,109,0,0,25,0,0,0,0,0,0,0,22,169,37,0,70,41,36
0,39,66,44,68,0,36,0,0,13,0,0,0,0,0,0,39,0,42,38,19,0
57,39,0,0,0,0,0,0,279,0,0,37,0,0,0,0,0,0,33,0,0,0
51,126,31,82,0,0,63,48,0,0,68,0,25,0,0,0,44,0,45,0,0,0
51,122,88,61,0,0,45,42,0,41,98,0,0,0,0,0,0,0,0,0,0,0
0,0,20,49,0,0,0,0,0,59,0,63,0,0,0,0,0,0,45,0,0,0
55,59,31,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,21,584,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,30,22,24,80,0,68,53,0,0,0,0,0,0,0,0,52,52,0,50,28,83
45,58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,0,25,0,0,391,96,0
69,195,52,33,0,0,35,0,0,58,111,0,0,0,0,0,0,0,0,0,0,44
0,0,13,55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,25,24,96,0,0,0
70,29,27,0,0,64,0,19,109,17,0,35,0,0,0,0,0,0,0,0,0,0
0,57,40,60,0,0,51,45,0,0,43,0,0,0,0,0,55,96,0,68,36,37
0,0,22,113,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0
0,0,19,0,0,0,0,0,0,19,0,41,0,0,0,0,0,0,0,0,0,0
21,89,69,0,0,0,23,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
0,69,23,63,38,0,0,0,0,39,34,45,28,0,0,0,22,26,0,14,0,51
0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,99,46,0,160,202,6
43,68,36,29,0,0,0,0,54,104,34,0,55,0,0,0,0,0,40,0,0,0
0,96,41,71,0,30,40,7,29,63,47,0,36,17,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,30,0,0,0,49,0,83,40,0,85,270,0
0,0,0,0,0,0,0,0,21,0,0,0,59,0,0,49,105,63,0,85,56,43
32,71,28,38,0,0,0,0,0,58,0,0,0,53,0,0,0,0,0,0,0,0
0,36,38,56,13,15,19,35,0,0,0,0,33,0,0,0,52,51,22,31,0,0
13,0,15,0,0,0,0,0,32,0,28,100,0,0,0,0,0,0,0,0,0,0
0,0,0,0,4,0,0,0,0,0,0,0,0,86,5,0,47,0,0,0,0,0
0,0,0,0,0,0,0,0,33,0,53,0,0,0,0,0,40,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,145,0,0,0,8,0
0,64,0,0,0,0,0,0,50,0,27,0,0,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,24,0,0,0,0
0,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52
0,14,34,0,0,0,0,0,36,26,0,0,0,0,0,0,59,0,38,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,0,0,0,0,0,0
0,0,0,0,68,0,0,0,0,0,0,0,48,0,68,41,61,50,0,73,39,65
24,12,25,19,47,59,7,14,26,18,15,0,44,53,0,0,25,0,0,58,0,0
0,39,30,0,53,0,85,27,0,0,53,0,43,0,0,56,58,21,0,0,0,0
0,0,0,0,0,0,96,371,0,0,0,0,16,0,79,0,0,0,0,0,0,0
42,0,83,39,60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,37,28,0,0,0,0,0,0,41,32,0,0,0,0,0,26,17,0,0,0,0
0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16,48,0,45,47,0,37,25,0,10,26,0,47,22,21,0,40,25,0,28,23,63
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,71,45,47,30,0,64,39,0,38,49,0,38,0,20,0,0,19,0,0,0,0
0,0,0,0,0,0,18,0,0,0,31,0,79,0,79,22,32,23,17,0,19,21
14,31,37,40,0,0,19,0,0,33,25,0,0,0,0,0,20,0,0,8,0,24
0,0,0,0,20,0,115,0,0,0,0,0,0,0,24,0,25,0,0,277,69,0
51,67,69,50,47,0,37,0,0,39,18,0,0,0,23,0,0,0,0,0,0,15
0,0,31,0,42,0,117,30,0,0,16,0,100,122,35,0,0,0,0,0,0,0
0,93,65,104,0,0,36,0,30,56,37,0,0,0,0,0,0,0,0,0,0,42
0,0,0,0,0,0,42,90,0,0,52,0,46,0,185,0,26,8,0,28,58,0
91,61,13,0,0,0,0,0,138,10,0,0,28,0,0,0,0,0,0,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,4,4,0,0,434,76,0
