"ID","Taxonomy"
"ASV77","Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Sphingomonadales; f__Sphingomonadaceae; g__Sphingomonadaceae_unclassified"
"ASV78","Root; k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Cytophagales; f__Cytophagales_unclassified; g__Cytophagales_unclassified"
"ASV79","Root; k__Bacteria; p__Actinobacteria; c__Acidimicrobiia; o__Acidimicrobiia_or; f__Acidimicrobiia_fa; g__Acidimicrobiia_ge"
"ASV81","Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Rhizobiaceae; g__Mycoplana"
"ASV82","Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Nitrococcales; f__Halorhodospiraceae; g__uncultured"
"ASV83","Root; k__Bacteria; p__Verrucomicrobia; c__Verrucomicrobiae; o__Verrucomicrobiae_unclassified; f__Verrucomicrobiae_unclassified; g__Verrucomicrobiae_unclassified"
"ASV84","Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Rhizobiales; f__Xanthobacteraceae; g__Oligotropha"
"ASV85","Root; k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Chitinophagales; f__Chitinophagaceae; g__Chitinophagaceae_unclassified"
"ASV86","Root; k__Bacteria; p__Proteobacteria; c__Gammaproteobacteria; o__Betaproteobacteriales; f__Betaproteobacteriales_unclassified; g__Betaproteobacteriales_unclassified"
"ASV87","Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Caulobacterales; f__Caulobacteraceae; g__Caulobacter"
"ASV88","Root; k__Bacteria; p__Proteobacteria; c__Alphaproteobacteria; o__Alphaproteobacteria_unclassified; f__Alphaproteobacteria_unclassified; g__Alphaproteobacteria_unclassified"
"ASV89","Root; k__Bacteria; p__Firmicutes; c__Bacilli; o__Bacillales; f__Bacillaceae; g__Bacillaceae_unclassified"
"ASV90","Root; k__Bacteria; p__Bacteroidetes; c__Bacteroidia; o__Flavobacteriales; f__Flavobacteriaceae; g__Flavobacteriaceae_unclassified"
